You already have the most recent version of MATLAB Connector installed.

                            < M A T L A B (R) >
                  Copyright 1984-2024 The MathWorks, Inc.
             R2024b Update 1 (24.2.0.2740171) 64-bit (glnxa64)
                             September 20, 2024

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
Eval n=100, NN=10000 | out-of-sample obj = 1.7334063 | rep = 1
Eval n=100, NN=10000 | out-of-sample obj = 1.7363482 | rep = 2
Eval n=100, NN=10000 | out-of-sample obj = 1.7339061 | rep = 3
Eval n=100, NN=10000 | out-of-sample obj = 1.736599 | rep = 4
Eval n=100, NN=10000 | out-of-sample obj = 1.7336896 | rep = 5
Average eval for n=100, N=200 over 5 reps = 1.7347898
Eval n=100, NN=10000 | out-of-sample obj = 1.7301364 | rep = 1
Eval n=100, NN=10000 | out-of-sample obj = 1.7322754 | rep = 2
Eval n=100, NN=10000 | out-of-sample obj = 1.7319027 | rep = 3
Eval n=100, NN=10000 | out-of-sample obj = 1.731828 | rep = 4
Eval n=100, NN=10000 | out-of-sample obj = 1.7310964 | rep = 5
Average eval for n=100, N=400 over 5 reps = 1.7314478
Eval n=100, NN=10000 | out-of-sample obj = 1.7303654 | rep = 1
Eval n=100, NN=10000 | out-of-sample obj = 1.7305101 | rep = 2
Eval n=100, NN=10000 | out-of-sample obj = 1.7296509 | rep = 3
Eval n=100, NN=10000 | out-of-sample obj = 1.7299868 | rep = 4
Eval n=100, NN=10000 | out-of-sample obj = 1.7302506 | rep = 5
Average eval for n=100, N=600 over 5 reps = 1.7301528
Eval n=200, NN=10000 | out-of-sample obj = 1.7290469 | rep = 1
Eval n=200, NN=10000 | out-of-sample obj = 1.7282277 | rep = 2
Eval n=200, NN=10000 | out-of-sample obj = 1.7282638 | rep = 3
Eval n=200, NN=10000 | out-of-sample obj = 1.7279524 | rep = 4
Eval n=200, NN=10000 | out-of-sample obj = 1.728462 | rep = 5
Average eval for n=200, N=200 over 5 reps = 1.7283905
Eval n=200, NN=10000 | out-of-sample obj = 1.7260497 | rep = 1
Eval n=200, NN=10000 | out-of-sample obj = 1.7260863 | rep = 2
Eval n=200, NN=10000 | out-of-sample obj = 1.7254576 | rep = 3
Eval n=200, NN=10000 | out-of-sample obj = 1.7259929 | rep = 4
Eval n=200, NN=10000 | out-of-sample obj = 1.7262305 | rep = 5
Average eval for n=200, N=400 over 5 reps = 1.7259634
Eval n=200, NN=10000 | out-of-sample obj = 1.7243673 | rep = 1
Eval n=200, NN=10000 | out-of-sample obj = 1.7245329 | rep = 2
Eval n=200, NN=10000 | out-of-sample obj = 1.7247953 | rep = 3
Eval n=200, NN=10000 | out-of-sample obj = 1.724647 | rep = 4
Eval n=200, NN=10000 | out-of-sample obj = 1.7246192 | rep = 5
Average eval for n=200, N=600 over 5 reps = 1.7245923
Eval n=300, NN=10000 | out-of-sample obj = 1.7285332 | rep = 1
Eval n=300, NN=10000 | out-of-sample obj = 1.7265407 | rep = 2
Eval n=300, NN=10000 | out-of-sample obj = 1.7287907 | rep = 3
Eval n=300, NN=10000 | out-of-sample obj = 1.7285818 | rep = 4
Eval n=300, NN=10000 | out-of-sample obj = 1.7280275 | rep = 5
Average eval for n=300, N=200 over 5 reps = 1.7280948
Eval n=300, NN=10000 | out-of-sample obj = 1.7251695 | rep = 1
Eval n=300, NN=10000 | out-of-sample obj = 1.724984 | rep = 2
Eval n=300, NN=10000 | out-of-sample obj = 1.7254793 | rep = 3
Eval n=300, NN=10000 | out-of-sample obj = 1.7243559 | rep = 4
Eval n=300, NN=10000 | out-of-sample obj = 1.7258397 | rep = 5
Average eval for n=300, N=400 over 5 reps = 1.7251657
Eval n=300, NN=10000 | out-of-sample obj = 1.7241491 | rep = 1
Eval n=300, NN=10000 | out-of-sample obj = 1.7242271 | rep = 2
Eval n=300, NN=10000 | out-of-sample obj = 1.724529 | rep = 3
Eval n=300, NN=10000 | out-of-sample obj = 1.7244623 | rep = 4
Eval n=300, NN=10000 | out-of-sample obj = 1.7246541 | rep = 5
Average eval for n=300, N=600 over 5 reps = 1.7244043
Eval n=400, NN=10000 | out-of-sample obj = 1.7289571 | rep = 1
Eval n=400, NN=10000 | out-of-sample obj = 1.7307292 | rep = 2
Eval n=400, NN=10000 | out-of-sample obj = 1.7295466 | rep = 3
Eval n=400, NN=10000 | out-of-sample obj = 1.7276989 | rep = 4
Eval n=400, NN=10000 | out-of-sample obj = 1.7300836 | rep = 5
Average eval for n=400, N=200 over 5 reps = 1.7294031
Eval n=400, NN=10000 | out-of-sample obj = 1.7261166 | rep = 1
Eval n=400, NN=10000 | out-of-sample obj = 1.7254959 | rep = 2
Eval n=400, NN=10000 | out-of-sample obj = 1.7259406 | rep = 3
Eval n=400, NN=10000 | out-of-sample obj = 1.7261243 | rep = 4
Eval n=400, NN=10000 | out-of-sample obj = 1.7249001 | rep = 5
Average eval for n=400, N=400 over 5 reps = 1.7257155
Eval n=400, NN=10000 | out-of-sample obj = 1.7238136 | rep = 1
Eval n=400, NN=10000 | out-of-sample obj = 1.7248634 | rep = 2
Eval n=400, NN=10000 | out-of-sample obj = 1.724329 | rep = 3
Eval n=400, NN=10000 | out-of-sample obj = 1.7243217 | rep = 4
Eval n=400, NN=10000 | out-of-sample obj = 1.7248289 | rep = 5
Average eval for n=400, N=600 over 5 reps = 1.7244313
Eval n=500, NN=10000 | out-of-sample obj = 1.7331656 | rep = 1
Eval n=500, NN=10000 | out-of-sample obj = 1.7296213 | rep = 2
Eval n=500, NN=10000 | out-of-sample obj = 1.731883 | rep = 3
Eval n=500, NN=10000 | out-of-sample obj = 1.7287456 | rep = 4
Eval n=500, NN=10000 | out-of-sample obj = 1.7310664 | rep = 5
Average eval for n=500, N=200 over 5 reps = 1.7308964
Eval n=500, NN=10000 | out-of-sample obj = 1.7274854 | rep = 1
Eval n=500, NN=10000 | out-of-sample obj = 1.7278343 | rep = 2
Eval n=500, NN=10000 | out-of-sample obj = 1.7282669 | rep = 3
Eval n=500, NN=10000 | out-of-sample obj = 1.7272813 | rep = 4
Eval n=500, NN=10000 | out-of-sample obj = 1.7265798 | rep = 5
Average eval for n=500, N=400 over 5 reps = 1.7274895
Eval n=500, NN=10000 | out-of-sample obj = 1.7249664 | rep = 1
Eval n=500, NN=10000 | out-of-sample obj = 1.7264934 | rep = 2
Eval n=500, NN=10000 | out-of-sample obj = 1.7240659 | rep = 3
Eval n=500, NN=10000 | out-of-sample obj = 1.7259935 | rep = 4
Eval n=500, NN=10000 | out-of-sample obj = 1.7260015 | rep = 5
Average eval for n=500, N=600 over 5 reps = 1.7255042
Eval n=600, NN=10000 | out-of-sample obj = 1.7322574 | rep = 1
Eval n=600, NN=10000 | out-of-sample obj = 1.7303076 | rep = 2
Eval n=600, NN=10000 | out-of-sample obj = 1.7311143 | rep = 3
Eval n=600, NN=10000 | out-of-sample obj = 1.7329125 | rep = 4
Eval n=600, NN=10000 | out-of-sample obj = 1.734596 | rep = 5
Average eval for n=600, N=200 over 5 reps = 1.7322376
Eval n=600, NN=10000 | out-of-sample obj = 1.7269748 | rep = 1
Eval n=600, NN=10000 | out-of-sample obj = 1.7286291 | rep = 2
Eval n=600, NN=10000 | out-of-sample obj = 1.7283089 | rep = 3
Eval n=600, NN=10000 | out-of-sample obj = 1.7277507 | rep = 4
Eval n=600, NN=10000 | out-of-sample obj = 1.7276322 | rep = 5
Average eval for n=600, N=400 over 5 reps = 1.7278591
Eval n=600, NN=10000 | out-of-sample obj = 1.72561 | rep = 1
Eval n=600, NN=10000 | out-of-sample obj = 1.7258632 | rep = 2
