
                            < M A T L A B (R) >
                  Copyright 1984-2024 The MathWorks, Inc.
             R2024b Update 1 (24.2.0.2740171) 64-bit (glnxa64)
                             September 20, 2024

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
Eval n=100, NN=10000 | out-of-sample obj = 1.7354472 | rep = 1
Eval n=100, NN=10000 | out-of-sample obj = 1.7393661 | rep = 2
Eval n=100, NN=10000 | out-of-sample obj = 1.7372232 | rep = 3
Eval n=100, NN=10000 | out-of-sample obj = 1.7381908 | rep = 4
Eval n=100, NN=10000 | out-of-sample obj = 1.7341823 | rep = 5
Average eval for n=100, N=200 over 5 reps = 1.7368819
Eval n=100, NN=10000 | out-of-sample obj = 1.7318495 | rep = 1
Eval n=100, NN=10000 | out-of-sample obj = 1.7320657 | rep = 2
Eval n=100, NN=10000 | out-of-sample obj = 1.7319821 | rep = 3
Eval n=100, NN=10000 | out-of-sample obj = 1.7329071 | rep = 4
Eval n=100, NN=10000 | out-of-sample obj = 1.732182 | rep = 5
Average eval for n=100, N=400 over 5 reps = 1.7321973
Eval n=100, NN=10000 | out-of-sample obj = 1.7302568 | rep = 1
Eval n=100, NN=10000 | out-of-sample obj = 1.7311001 | rep = 2
Eval n=100, NN=10000 | out-of-sample obj = 1.7308262 | rep = 3
Eval n=100, NN=10000 | out-of-sample obj = 1.7314415 | rep = 4
Eval n=100, NN=10000 | out-of-sample obj = 1.7301693 | rep = 5
Average eval for n=100, N=600 over 5 reps = 1.7307588
Eval n=200, NN=10000 | out-of-sample obj = 1.7258067 | rep = 1
Eval n=200, NN=10000 | out-of-sample obj = 1.7260939 | rep = 2
Eval n=200, NN=10000 | out-of-sample obj = 1.7280809 | rep = 3
Eval n=200, NN=10000 | out-of-sample obj = 1.7289096 | rep = 4
Eval n=200, NN=10000 | out-of-sample obj = 1.7277384 | rep = 5
Average eval for n=200, N=200 over 5 reps = 1.7273259
Eval n=200, NN=10000 | out-of-sample obj = 1.7242225 | rep = 1
Eval n=200, NN=10000 | out-of-sample obj = 1.7241135 | rep = 2
Eval n=200, NN=10000 | out-of-sample obj = 1.72479 | rep = 3
Eval n=200, NN=10000 | out-of-sample obj = 1.7247455 | rep = 4
Eval n=200, NN=10000 | out-of-sample obj = 1.7244146 | rep = 5
Average eval for n=200, N=400 over 5 reps = 1.7244572
Eval n=200, NN=10000 | out-of-sample obj = 1.7240563 | rep = 1
Eval n=200, NN=10000 | out-of-sample obj = 1.7236598 | rep = 2
Eval n=200, NN=10000 | out-of-sample obj = 1.7237703 | rep = 3
Eval n=200, NN=10000 | out-of-sample obj = 1.7239808 | rep = 4
Eval n=200, NN=10000 | out-of-sample obj = 1.7239818 | rep = 5
Average eval for n=200, N=600 over 5 reps = 1.7238898
Eval n=300, NN=10000 | out-of-sample obj = 1.7227047 | rep = 1
Eval n=300, NN=10000 | out-of-sample obj = 1.7222564 | rep = 2
Eval n=300, NN=10000 | out-of-sample obj = 1.723915 | rep = 3
Eval n=300, NN=10000 | out-of-sample obj = 1.7225979 | rep = 4
Eval n=300, NN=10000 | out-of-sample obj = 1.7257291 | rep = 5
Average eval for n=300, N=200 over 5 reps = 1.7234406
Eval n=300, NN=10000 | out-of-sample obj = 1.7219856 | rep = 1
Eval n=300, NN=10000 | out-of-sample obj = 1.7218223 | rep = 2
Eval n=300, NN=10000 | out-of-sample obj = 1.7218764 | rep = 3
Eval n=300, NN=10000 | out-of-sample obj = 1.7213241 | rep = 4
Eval n=300, NN=10000 | out-of-sample obj = 1.7216801 | rep = 5
Average eval for n=300, N=400 over 5 reps = 1.7217377
Eval n=300, NN=10000 | out-of-sample obj = 1.7212267 | rep = 1
Eval n=300, NN=10000 | out-of-sample obj = 1.7209916 | rep = 2
Eval n=300, NN=10000 | out-of-sample obj = 1.7211065 | rep = 3
Eval n=300, NN=10000 | out-of-sample obj = 1.7208163 | rep = 4
Eval n=300, NN=10000 | out-of-sample obj = 1.7211607 | rep = 5
Average eval for n=300, N=600 over 5 reps = 1.7210604
Eval n=400, NN=10000 | out-of-sample obj = 1.7205574 | rep = 1
Eval n=400, NN=10000 | out-of-sample obj = 1.7211495 | rep = 2
Eval n=400, NN=10000 | out-of-sample obj = 1.7217156 | rep = 3
Eval n=400, NN=10000 | out-of-sample obj = 1.7210565 | rep = 4
Eval n=400, NN=10000 | out-of-sample obj = 1.7214546 | rep = 5
Average eval for n=400, N=200 over 5 reps = 1.7211867
Eval n=400, NN=10000 | out-of-sample obj = 1.7202885 | rep = 1
Eval n=400, NN=10000 | out-of-sample obj = 1.7201923 | rep = 2
Eval n=400, NN=10000 | out-of-sample obj = 1.7198313 | rep = 3
Eval n=400, NN=10000 | out-of-sample obj = 1.7203198 | rep = 4
Eval n=400, NN=10000 | out-of-sample obj = 1.7198946 | rep = 5
Average eval for n=400, N=400 over 5 reps = 1.7201053
Eval n=400, NN=10000 | out-of-sample obj = 1.719481 | rep = 1
Eval n=400, NN=10000 | out-of-sample obj = 1.7194171 | rep = 2
Eval n=400, NN=10000 | out-of-sample obj = 1.7197335 | rep = 3
Eval n=400, NN=10000 | out-of-sample obj = 1.719512 | rep = 4
Eval n=400, NN=10000 | out-of-sample obj = 1.7198932 | rep = 5
Average eval for n=400, N=600 over 5 reps = 1.7196073
Eval n=500, NN=10000 | out-of-sample obj = 1.7210225 | rep = 1
Eval n=500, NN=10000 | out-of-sample obj = 1.7202939 | rep = 2
Eval n=500, NN=10000 | out-of-sample obj = 1.7217616 | rep = 3
Eval n=500, NN=10000 | out-of-sample obj = 1.719916 | rep = 4
Eval n=500, NN=10000 | out-of-sample obj = 1.7197397 | rep = 5
Average eval for n=500, N=200 over 5 reps = 1.7205468
Eval n=500, NN=10000 | out-of-sample obj = 1.7190671 | rep = 1
Eval n=500, NN=10000 | out-of-sample obj = 1.7188935 | rep = 2
Eval n=500, NN=10000 | out-of-sample obj = 1.718754 | rep = 3
Eval n=500, NN=10000 | out-of-sample obj = 1.7191284 | rep = 4
Eval n=500, NN=10000 | out-of-sample obj = 1.7189024 | rep = 5
Average eval for n=500, N=400 over 5 reps = 1.7189491
Eval n=500, NN=10000 | out-of-sample obj = 1.718897 | rep = 1
Eval n=500, NN=10000 | out-of-sample obj = 1.7185599 | rep = 2
Eval n=500, NN=10000 | out-of-sample obj = 1.7192085 | rep = 3
Eval n=500, NN=10000 | out-of-sample obj = 1.718949 | rep = 4
Eval n=500, NN=10000 | out-of-sample obj = 1.7188209 | rep = 5
Average eval for n=500, N=600 over 5 reps = 1.7188871
Eval n=600, NN=10000 | out-of-sample obj = 1.7193461 | rep = 1
Eval n=600, NN=10000 | out-of-sample obj = 1.7191133 | rep = 2
Eval n=600, NN=10000 | out-of-sample obj = 1.7191567 | rep = 3
Eval n=600, NN=10000 | out-of-sample obj = 1.7190897 | rep = 4
Eval n=600, NN=10000 | out-of-sample obj = 1.718946 | rep = 5
Average eval for n=600, N=200 over 5 reps = 1.7191303
Eval n=600, NN=10000 | out-of-sample obj = 1.7184592 | rep = 1
Eval n=600, NN=10000 | out-of-sample obj = 1.7186617 | rep = 2
Eval n=600, NN=10000 | out-of-sample obj = 1.7183277 | rep = 3
Eval n=600, NN=10000 | out-of-sample obj = 1.7186106 | rep = 4
Eval n=600, NN=10000 | out-of-sample obj = 1.7182877 | rep = 5
Average eval for n=600, N=400 over 5 reps = 1.7184694
Eval n=600, NN=10000 | out-of-sample obj = 1.7178926 | rep = 1
Eval n=600, NN=10000 | out-of-sample obj = 1.7182661 | rep = 2
Eval n=600, NN=10000 | out-of-sample obj = 1.7180091 | rep = 3
