You already have the most recent version of MATLAB Connector installed.

                            < M A T L A B (R) >
                  Copyright 1984-2024 The MathWorks, Inc.
             R2024b Update 1 (24.2.0.2740171) 64-bit (glnxa64)
                             September 20, 2024

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
n=100, N=200 | empirical mean (should be ~0): 0.0310965 | expectation: 1.9901
Eval n=100, NN=10000 | out-of-sample obj = 1.8034388 | rep = 1
n=100, N=200 | empirical mean (should be ~0): 0.0194283 | expectation: 1.9901
Eval n=100, NN=10000 | out-of-sample obj = 1.7826667 | rep = 2
n=100, N=200 | empirical mean (should be ~0): -0.00588127 | expectation: 1.9901
Eval n=100, NN=10000 | out-of-sample obj = 1.781377 | rep = 3
n=100, N=200 | empirical mean (should be ~0): -0.0257912 | expectation: 1.9901
Eval n=100, NN=10000 | out-of-sample obj = 1.7755344 | rep = 4
n=100, N=200 | empirical mean (should be ~0): -0.0552027 | expectation: 1.9901
Eval n=100, NN=10000 | out-of-sample obj = 1.7741041 | rep = 5
Average eval for n=100, N=200 over 5 reps = 1.7834242
n=100, N=400 | empirical mean (should be ~0): 0.0169306 | expectation: 1.9901
Eval n=100, NN=10000 | out-of-sample obj = 1.7659376 | rep = 1
n=100, N=400 | empirical mean (should be ~0): 0.026065 | expectation: 1.9901
Eval n=100, NN=10000 | out-of-sample obj = 1.769375 | rep = 2
n=100, N=400 | empirical mean (should be ~0): 0.00477927 | expectation: 1.9901
Eval n=100, NN=10000 | out-of-sample obj = 1.76722 | rep = 3
n=100, N=400 | empirical mean (should be ~0): -0.0206257 | expectation: 1.9901
Eval n=100, NN=10000 | out-of-sample obj = 1.7673585 | rep = 4
n=100, N=400 | empirical mean (should be ~0): 0.00954587 | expectation: 1.9901
Eval n=100, NN=10000 | out-of-sample obj = 1.7706174 | rep = 5
Average eval for n=100, N=400 over 5 reps = 1.7681017
n=100, N=600 | empirical mean (should be ~0): 0.00953481 | expectation: 1.9901
Eval n=100, NN=10000 | out-of-sample obj = 1.7598902 | rep = 1
n=100, N=600 | empirical mean (should be ~0): 0.00395871 | expectation: 1.9901
Eval n=100, NN=10000 | out-of-sample obj = 1.7615619 | rep = 2
n=100, N=600 | empirical mean (should be ~0): 0.0187027 | expectation: 1.9901
Eval n=100, NN=10000 | out-of-sample obj = 1.7628834 | rep = 3
n=100, N=600 | empirical mean (should be ~0): 0.0132661 | expectation: 1.9901
Eval n=100, NN=10000 | out-of-sample obj = 1.7590904 | rep = 4
n=100, N=600 | empirical mean (should be ~0): 0.00262617 | expectation: 1.9901
Eval n=100, NN=10000 | out-of-sample obj = 1.7622813 | rep = 5
Average eval for n=100, N=600 over 5 reps = 1.7611414
n=200, N=200 | empirical mean (should be ~0): -0.0174688 | expectation: 1.9901
Eval n=200, NN=10000 | out-of-sample obj = 1.783908 | rep = 1
n=200, N=200 | empirical mean (should be ~0): -0.0149149 | expectation: 1.9901
Eval n=200, NN=10000 | out-of-sample obj = 1.8032591 | rep = 2
n=200, N=200 | empirical mean (should be ~0): -0.00874926 | expectation: 1.9901
Eval n=200, NN=10000 | out-of-sample obj = 1.8110013 | rep = 3
n=200, N=200 | empirical mean (should be ~0): 0.0140076 | expectation: 1.9901
Eval n=200, NN=10000 | out-of-sample obj = 1.8133084 | rep = 4
n=200, N=200 | empirical mean (should be ~0): 0.00948837 | expectation: 1.9901
Eval n=200, NN=10000 | out-of-sample obj = 1.9089626 | rep = 5
Average eval for n=200, N=200 over 5 reps = 1.8240879
n=200, N=400 | empirical mean (should be ~0): -0.0226957 | expectation: 1.9901
Eval n=200, NN=10000 | out-of-sample obj = 1.8014888 | rep = 1
n=200, N=400 | empirical mean (should be ~0): -0.00151666 | expectation: 1.9901
Eval n=200, NN=10000 | out-of-sample obj = 1.8488982 | rep = 2
n=200, N=400 | empirical mean (should be ~0): -0.000605646 | expectation: 1.9901
Eval n=200, NN=10000 | out-of-sample obj = 1.7880589 | rep = 3
n=200, N=400 | empirical mean (should be ~0): -0.00311068 | expectation: 1.9901
Eval n=200, NN=10000 | out-of-sample obj = 1.7749306 | rep = 4
n=200, N=400 | empirical mean (should be ~0): 0.0104461 | expectation: 1.9901
Eval n=200, NN=10000 | out-of-sample obj = 1.8296838 | rep = 5
Average eval for n=200, N=400 over 5 reps = 1.8086121
n=200, N=600 | empirical mean (should be ~0): -0.00161847 | expectation: 1.9901
Eval n=200, NN=10000 | out-of-sample obj = 1.8664146 | rep = 1
n=200, N=600 | empirical mean (should be ~0): 2.59484e-05 | expectation: 1.9901
Eval n=200, NN=10000 | out-of-sample obj = 1.7868203 | rep = 2
n=200, N=600 | empirical mean (should be ~0): 0.0141734 | expectation: 1.9901
Eval n=200, NN=10000 | out-of-sample obj = 1.8136602 | rep = 3
n=200, N=600 | empirical mean (should be ~0): -0.00290268 | expectation: 1.9901
Eval n=200, NN=10000 | out-of-sample obj = 1.7929044 | rep = 4
n=200, N=600 | empirical mean (should be ~0): -0.00823643 | expectation: 1.9901
Eval n=200, NN=10000 | out-of-sample obj = 1.7812581 | rep = 5
Average eval for n=200, N=600 over 5 reps = 1.8082115
n=300, N=200 | empirical mean (should be ~0): 0.0154016 | expectation: 1.9901
Eval n=300, NN=10000 | out-of-sample obj = 1.8888374 | rep = 1
n=300, N=200 | empirical mean (should be ~0): 0.00522546 | expectation: 1.9901
Eval n=300, NN=10000 | out-of-sample obj = 2.1513383 | rep = 2
n=300, N=200 | empirical mean (should be ~0): 0.0165111 | expectation: 1.9901
Eval n=300, NN=10000 | out-of-sample obj = 2.0533414 | rep = 3
n=300, N=200 | empirical mean (should be ~0): 0.0253239 | expectation: 1.9901
Eval n=300, NN=10000 | out-of-sample obj = 2.1262424 | rep = 4
n=300, N=200 | empirical mean (should be ~0): -0.0046886 | expectation: 1.9901
Eval n=300, NN=10000 | out-of-sample obj = 1.8202076 | rep = 5
Average eval for n=300, N=200 over 5 reps = 2.0079934
n=300, N=400 | empirical mean (should be ~0): 0.00392529 | expectation: 1.9901
Eval n=300, NN=10000 | out-of-sample obj = 1.8480775 | rep = 1
n=300, N=400 | empirical mean (should be ~0): 0.0111977 | expectation: 1.9901
Eval n=300, NN=10000 | out-of-sample obj = 1.8251969 | rep = 2
n=300, N=400 | empirical mean (should be ~0): 0.000721803 | expectation: 1.9901
Eval n=300, NN=10000 | out-of-sample obj = 1.841317 | rep = 3
n=300, N=400 | empirical mean (should be ~0): -0.0141438 | expectation: 1.9901
Eval n=300, NN=10000 | out-of-sample obj = 1.8083983 | rep = 4
n=300, N=400 | empirical mean (should be ~0): -0.0193795 | expectation: 1.9901
Eval n=300, NN=10000 | out-of-sample obj = 1.86474 | rep = 5
Average eval for n=300, N=400 over 5 reps = 1.837546
n=300, N=600 | empirical mean (should be ~0): 0.00502381 | expectation: 1.9901
Eval n=300, NN=10000 | out-of-sample obj = 1.8127931 | rep = 1
n=300, N=600 | empirical mean (should be ~0): -0.00778301 | expectation: 1.9901
Eval n=300, NN=10000 | out-of-sample obj = 1.7908748 | rep = 2
n=300, N=600 | empirical mean (should be ~0): 0.00292707 | expectation: 1.9901
Eval n=300, NN=10000 | out-of-sample obj = 1.8274491 | rep = 3
n=300, N=600 | empirical mean (should be ~0): 0.00198976 | expectation: 1.9901
Eval n=300, NN=10000 | out-of-sample obj = 1.8311209 | rep = 4
n=300, N=600 | empirical mean (should be ~0): 0.0130276 | expectation: 1.9901
Eval n=300, NN=10000 | out-of-sample obj = 1.9012614 | rep = 5
Average eval for n=300, N=600 over 5 reps = 1.8326999
n=400, N=200 | empirical mean (should be ~0): -0.000368426 | expectation: 1.9901
